title,location
Aartreum School of Design Hyderabad,"Telangana, Hyderabad"
Tika Ram College of Education Sonepat,"Haryana, Sonepat"
Thai Moogambigai Dental College and Hospital Chennai,"Tamil Nadu, Chennai"
St Pious Degree College for Women Hyderabad,"Telangana, Hyderabad"
GNA University,"Punjab, Hoshiarpur"
Indraprasth Institute of Aeronautics Gurgaon,"Haryana, Gurgaon"
MIMA Institute of Management Pune,"Maharashtra, Pune"
Swami Vivekanand College of Education Yamuna Nagar,"Haryana, Yamuna Nagar"
DAV Mahavidyalaya Bhopal,"Madhya Pradesh, Bhopal"
Institute of Para Medical Technology New Delhi,"Delhi, Delhi"
Mahendhira College of Education Salem,"Tamil Nadu, Salem"
Everest Education Society Group of institutions College of Engineering and Technology Aurangabad,"Maharashtra, Aurangabad"
Seth Anandram Jaipuria College Kolkata,"West Bengal, Kolkata"
Sun Institute of Management Studies Udaipur,"Rajasthan, Udaipur"
Malla Reddy Institute of Management Secunderabad,"Telangana, Secunderabad"
Arena Animation Mumbai,"Maharashtra, Mumbai"
SKNR Degree College Karimnagar,"Telangana, Karimnagar"
Dayananda Sagar Academy of Technology and Management Bangalore,"Karnataka, Bangalore"
Jaywant College of Engineering and Management Sangli,"Maharashtra, Sangli"
Rao Khem Chand College of Education Rewari,"Haryana, Rewari"
AlNoor College of Education Udhampur,"Jammu & Kashmir, Udhampur"
Ganga Institute of Architecture and Town Planning Jhajjar,"Haryana, Jhajjar"
College of Events & Media Pune,"Maharashtra, Pune"
Amitha B.Ed. Teachers Training College Bangalore,"Karnataka, Bangalore"
Baroda Institute of Technology Vadodara,"Gujarat, Vadodara"
Rani Laxmi Bai Mahila Degree College Meerut,"Uttar Pradesh, Meerut"
Bhubaneswar Polytechnic Khorda,"Odisha, Khorda"
Sree Buddha College of Engineering Pattoor Alappuzha,"Kerala, Alappuzha"
Synetic Business School Ludhiana,"Punjab, Ludhiana"
Chitkara College of Education Patiala,"Punjab, Patiala"
Amity University Jaipur,"Rajasthan, Jaipur"
Patel Institute of Engineering and Sciences Bhopal,"Madhya Pradesh, Bhopal"
Radha Govinda Baruah College Guwahati,"Assam, Guwahati"
Sri Sharada Institute of Indian Management and Research New Delhi,"Delhi, Delhi"
Puranmal Lahoti Government Polytechnic Aurangabad,"Maharashtra, Aurangabad"
Karavali College Mangalore,"Karnataka, Mangalore"
VMOU,"Rajasthan, Kota"
Bongaigaon College,"Assam, Bongaigaon"
Sree Krishna College of Engineering Vellore,"Tamil Nadu, Vellore"
Vidya Bhavan College of Education Gurgaon,"Haryana, Gurgaon"
Poornima University Jaipur,"Rajasthan, Jaipur"
Amity University Online Noida,"Uttar Pradesh, Noida"
Chinmaya Institute of Fire and Safety Engineering Rourkela,"Odisha, Rourkela"
Bangabasi College Kolkata,"West Bengal, Kolkata"
Sri Ramakrishna PG College Kurnool,"Andhra Pradesh, Kurnool"
Annamacharya College of Education Kadapa,"Andhra Pradesh, Kadapa"
Knowledge Institute of Technology Salem,"Tamil Nadu, Salem"
CCSU,"Tamil Nadu, T Nagar"
Govinda Pai Memorial Government College Kasaragod,"Kerala, Kasaragod"
Shri Darshan Mahavidyalaya Auraiya,"Uttar Pradesh, Auraiya"
Vidyabharti College of Pharmacy Amravati,"Maharashtra, Amravati"
Mar Baselios College of Nursing Kothamangalam,"Kerala, Ernakulam"
CSJMU,"Maharashtra, Kalyan"
ANMMCH,"Bihar, Gaya"
N. K. T. National College of Education for Women Chennai,"Tamil Nadu, Chennai"
Krishnasamy Memorial Polytechnic College Cuddalore,"Tamil Nadu, Cuddalore"
Lal Bahadur Shastri College of Education Kathua,"Jammu & Kashmir, Kathua"
Dr. K. V Subba Reddy Institute of Management Kurnool,"Andhra Pradesh, Kurnool"
Gnanamani College of Technology Namakkal,"Tamil Nadu, Namakkal"
Smt Kanti Singh Law College Gyanpur,"Uttar Pradesh, Bhadohi"
National Geophysical Research Institute Hyderabad,"Telangana, Hyderabad"
Goa Dental College and Hospital North Goa,"Goa, Goa"
T.D. Medical College Alappuzha,"Kerala, Alappuzha"
Achutha Institute of Technology Bangalore,"Karnataka, Bangalore"
Dr. M.G.R. Educational and Research Institute Chennai,"Tamil Nadu, Chennai"
KVG College of Engineering Sullia,"Karnataka, Sullia"
Shri Sai Baba Institute of Engineering Research and Allied Sciences Ahmednagar,"Maharashtra, Ahmednagar"
GCEK Karad,"Maharashtra, Karad"
Kisan P.G. College Ballia,"Uttar Pradesh, Ballia"
Krishna College of Education for Women Namakkal,"Tamil Nadu, Namakkal"
Adhunik Institute of Productivity Management & Research Ghaziabad,"Uttar Pradesh, Ghaziabad"
Nairs Teachers Training Institute Coimbatore,"Tamil Nadu, Coimbatore"
Amar Deep College Firozabad,"Uttar Pradesh, Firozabad"
