title,location
Government Polytechnic Seithekema C Dimapur,"Nagaland, Dimapur"
Government Polytechnic Curchorem,"Goa, Curchorem"
PDM School of Pharmacy Jind,"Haryana, Jind"
Diamond Harbour Government Medical College & Hospital,"Unknown, Unknown"
Greater Kolkata College of Engineering & Management Baruipur,"West Bengal, Baruipur"
Thiru. Vi. Ka. Govt. Arts College Thiruvarur,"Unknown, Thiruvarur"
SCAD Engineering College Tirunelveli,"Tamil Nadu, Tirunelveli"
Tika Ram P.G. Girls College Sonepat,"Haryana, Sonepat"
ACDS,"Madhya Pradesh, Agar"
Apeejay Institute of Mass Communication New Delhi,"Delhi, Delhi"
Mahendra Engineering College for Women Namakkal,"Tamil Nadu, Namakkal"
Roland Institute of Technology Berhampur,"Odisha, Berhampur"
Autonomous State Medical College Firozabad,"Uttar Pradesh, Firozabad"
Balaji Institute of International Business Pune,"Maharashtra, Pune"
Yogananda College of Engineering & Technology Jammu,"Jammu & Kashmir, Jammu"
Prince Institute of Innovative Technology Greater Noida,"Uttar Pradesh, Noida"
DN Patel College of Engineering Nandurbar,"Maharashtra, Nandurbar"
JSS Institute of Speech and Hearing Mysore,"Karnataka, Mysore"
Dinakrushna College Baleswar,"Odisha, Baleswar"
Dr Reddy's Institute of Information Technology Bangalore,"Karnataka, Bangalore"
Smt Bakul Tambat Institute of Nursing Education Pune,"Maharashtra, Pune"
Smt. Geeta D. Tatkare Polytechnic Raigad,"Maharashtra, Raigad"
Birpara College Alipurduar,"West Bengal, Alipurduar"
F X Polytechnic College Tirunelveli,"Tamil Nadu, Tirunelveli"
National Physical Laboratory New Delhi,"Delhi, Delhi"
NIT Sikkim,"Sikkim, Ravangla"
Amrita College of Engineering and Technology Nagercoil,"Tamil Nadu, Nagercoil"
Sree Narayana College for Women Kollam,"Kerala, Kollam"
Al Shifa College of Paramedical Sciences Perinthalmanna,"Kerala, Perinthalmanna"
Pandua College of Education Hooghly,"West Bengal, Hooghly"
Lloyd Institute of Management and Technology Greater Noida,"Uttar Pradesh, Noida"
MREC,"Telangana, Malkajgiri"
Smt Kamala & Sri Venkappa M Agadi College of Engineering & Technology Gadag,"Karnataka, Gadag"
Rustomjee Business School Mumbai,"Maharashtra, Mumbai"
IISWBM,"Unknown, Unknown"
Oriental University Indore,"Madhya Pradesh, Indore"
New Law College Mumbai,"Maharashtra, Mumbai"
Government Polytechnic College Muttom,"Kerala, Thodupuzha"
Smt NilaBen ManuBhai Padalia Pharmacy College Ahmedabad,"Gujarat, Ahmedabad"
TISS Mumbai,"Maharashtra, Mumbai"
Nalanda College of Education Dehradun,"Uttarakhand, Dehradun"
Rajmata Jijau Shikshan Prasarak Mandal's Institute of Pharmacy Pune,"Maharashtra, Pune"
Srinivas School of Management Mangalore,"Karnataka, Mangalore"
Government College of Engineering and Technology Jammu,"Jammu & Kashmir, Jammu"
EMS Academy of Journalism Bhopal,"Madhya Pradesh, Bhopal"
Dwarampudi Lakshmana Reddy College East Godavari,"Andhra Pradesh, East Godavari"
Ettumanoorappan College Ettumanoor Kottayam,"Kerala, Kottayam"
SGBAU,"Maharashtra, Amravati"
Narvadeshwar Group of Colleges Lucknow,"Uttar Pradesh, Lucknow"
Masterpro Institute of Technology Srinagar,"Jammu & Kashmir, Srinagar"
C.D Jain College of Commerce Ahmednagar,"Maharashtra, Ahmednagar"
Abhilashi University Mandi,"Himachal Pradesh, Mandi"
National Institute Of Computer Arts Mumbai,"Maharashtra, Mumbai"
"Babu Madhav Institute of Information Technology, Uka Tarsadia University Bardoli","Gujarat, Bardoli"
"Satyam School of Journalism and Mass Communication, Satyam Group of Institutions Noida","Uttar Pradesh, Noida"
KVV Karad,"Maharashtra, Karad"
SID Pune,"Maharashtra, Pune"
TTL College of Business Management Mysore,"Karnataka, Mysore"
KIT Coimbatore,"Tamil Nadu, Coimbatore"
KMCH College of Nursing Coimbatore,"Tamil Nadu, Coimbatore"
RTMNU,"Unknown, RTMNU"
National Centre for Antarctic and Ocean Research South Goa,"Goa, Goa"
Mount Carmel College of Teacher Education for Women Kottayam,"Kerala, Kottayam"
NIEM The Institute of Event Management Lucknow,"Uttar Pradesh, Lucknow"
"Shivaji College, Delhi University","Unknown, Unknown"
City Engineering College Bangalore,"Karnataka, Bangalore"
Mishri Devi Memorial Polytechnic College Todabhim Karauli,"Rajasthan, Karauli"
UAS Dharwad,"Karnataka, Dharwad"
CMC Coimbatore,"Tamil Nadu, Coimbatore"
Universal Business School Mohali,"Punjab, Mohali"
Mugberia Gangadhar Mahavidyalaya Midnapore,"West Bengal, Midnapore"
Pariyaram College of Nursing Kannur,"Kerala, Kannur"
Ghousia College of Engineering Ramanagar,"Karnataka, Ramanagara"
Hitkarini Dental College and Hospital Jabalpur,"Madhya Pradesh, Jabalpur"
BPUT,"Odisha, Rourkela"
Nabadwip Vidyasagar College Nadia,"West Bengal, Nadia"
"School of Journalism and Mass Communication, Apeejay Stya University Gurgaon","Haryana, Gurgaon"
JJ College of Arts & Science (Autonomous) Pudukkottai,"Tamil Nadu, Pudukkottai"
Kanda Institute of Engineering Management Kangra,"Himachal Pradesh, Kangra"
Sri Kund Kund Jain Post Graduate College Muzaffarnagar,"Uttar Pradesh, Muzaffarnagar"
Vidya Pratishthan's Institute of Information Technology Pune,"Maharashtra, Pune"
"University School of Chemical Technology, Guru Gobind Singh Indraprastha University New Delhi","Delhi, Delhi"
University of Kalyani,"West Bengal, Kalyani"
Veerayatan Institute of Engineering Kachchh,"Gujarat, Kachchh"
NIT Jalandhar,"Punjab, Jalandhar"
Berhampur University,"Bihar, University"
Vivekananda Degree College Bangalore,"Karnataka, Bangalore"
JK Lakshmipat University Jaipur,"Rajasthan, Jaipur"
GIPE,"Maharashtra, Pune"
HIMS Lucknow,"Uttar Pradesh, Lucknow"
Parul Institute of Pharmacy and Research Vadodara,"Gujarat, Vadodara"
Institute of Hotel Management Ahmedabad,"Gujarat, Ahmedabad"
Sanskar Institute of Management & Information Techonogy Kachchh,"Gujarat, Kachchh"
AIIMS Jodhpur,"Rajasthan, Jodhpur"
North Orissa University Baripada,"Odisha, Baripada"
Amarjyot Education Trust MEd College Patan,"Gujarat, Patan"
Gurukula Institute of Technology Bhubaneswar,"Odisha, Bhubaneswar"
GSL Dental College Rajahmundhry,"Andhra Pradesh, Rajamahendravaram"
Lachoo Memorial College Science and Technology Jodhpur,"Rajasthan, Jodhpur"
Career Point University Kota,"Rajasthan, Kota"
"Rajiv Gandhi University of Knowledge Technologies, Dr.APJ Abdul Kalam IIIT Ongole Campus","Tamil Nadu, Chennai"
CV Raman Bhubaneswar,"Odisha, Bhubaneswar"
Pailan College of Management and Technology Kolkata,"West Bengal, Kolkata"
College of Physiotherapy Adesh Institute of Medical Sciences & Research Bathinda,"Punjab, Bathinda"
Hasmukh Goswami College of Engineering Ahmedabad,"Gujarat, Ahmedabad"
Government Dharmapuri Medical College,"Unknown, Unknown"
SDMIT,"Madhya Pradesh, Dhar"
Shri Shivaji Arts and Commerce College Amravati,"Maharashtra, Amravati"
National College for Teacher Education Perumbavoor Ernakulam,"Kerala, Ernakulam"
GGDSD College Palampur,"Himachal Pradesh, Palampur"
St Teresa's College,"Unknown, Unknown"
Sharad Pawar Dental College and Hospital Wardha,"Maharashtra, Wardha"
Trinity College of Engineering Thiruvananthapuram,"Kerala, Thiruvananthapuram"
Atma Malik Institute of Technology & Research Thane,"Maharashtra, Thane"
IPS Academy Indore,"Madhya Pradesh, Indore"
Smt KB Parekh College of Computer Science Bhavnagar,"Gujarat, Bhavnagar"
ALC Vijayawada,"Andhra Pradesh, Vijayawada"
Yogeshwari Mahavidyalaya Ambajogai,"Maharashtra, Beed"
Sardar Patel University Vallabh Vidyanagar,"Gujarat, Vallabh Vidyanagar"
Grace College of Engineering Thoothukudi,"Tamil Nadu, Thoothukudi"
GDMM College Of Engineering And Technology Nandigama,"Andhra Pradesh, Krishna"
Centwin College of Education and Institute for Teacher Training Dharmapuri,"Tamil Nadu, Dharmapuri"
Delhi College of Technology and Management Palwal,"Haryana, Palwal"
Corporate Institute of Science and Technology Bhopal,"Madhya Pradesh, Bhopal"
Utkal University Bhubaneswar,"Odisha, Bhubaneswar"
K.Nanjappa Gounder College of Education Dindigul,"Tamil Nadu, Dindigul"
IIT Patna,"Bihar, Patna"
SJSV,"Unknown, SJSV"
"School of Computer Science, Chhatrapati Shivaji Maharaj University Navi Mumbai","Maharashtra, Mumbai"
MES Pune,"Maharashtra, Pune"
GLS Institute of Computer Technology Ahmedabad,"Gujarat, Ahmedabad"
Hues & Style Institute of Design and Management Ghaziabad,"Uttar Pradesh, Ghaziabad"
Kalra College of Education Udhampur,"Jammu & Kashmir, Udhampur"
Acharya Nagarjuna University Guntur,"Andhra Pradesh, Guntur"
Central Sanskrit University,"Delhi, Janakpuri"
Punjab College of Technical Education Ludhiana,"Punjab, Ludhiana"
DCAB College of Education Obedullaganj Raisen,"Madhya Pradesh, Raisen"
Sawai Madhopur College of Engineering and Technology,"Unknown, Unknown"
Dayanand Dinanath College Kanpur,"Uttar Pradesh, Kanpur"
Institute of Technology Korba,"Chhattisgarh, Korba"
Late Narayandas Bhawandas Chhabada Institute of Pharmacy Satara,"Maharashtra, Satara"
VVK Degree College Kannauj,"Uttar Pradesh, Kannauj"
ANITS,"Bihar, Patna"
Shatabdi Institute of Engineering and Research Nashik,"Maharashtra, Nashik"
Divya Drusti B.Ed College Panchmahal,"Gujarat, Panchmahal"
GMC Thiruvananthapuram,"Kerala, Thiruvananthapuram"
DVM College of Education Gurgaon,"Haryana, Gurgaon"
GEU,"Unknown, GEU"
NLUJ,"Unknown, NLUJ"
SKR Engineering College Chennai,"Tamil Nadu, Chennai"
Kalyan Post Graduate College Durg,"Chhattisgarh, Durg"
Wainganga College of Engineering and Management Nagpur,"Maharashtra, Nagpur"
MANUU,"Telangana, Gachibowli"
The Institute of Company Secretaries of India New Delhi,"Delhi, Delhi"
Bharti Institute of Vedic Astrology New Delhi,"Delhi, Delhi"
Anugraha School of Ayurveda Nursing Pathanamthitta,"Kerala, Pathanamthitta"
Shine Abdur Razzaque Ansari Institute of Health Education and Research Center Ranchi,"Jharkhand, Ranchi"
ICLES,"Maharashtra, Vashi"
Sadabai Raisoni Women's College Nagpur,"Maharashtra, Nagpur"
IMU Chennai,"Tamil Nadu, Chennai"
Dewan College of Education Meerut,"Uttar Pradesh, Meerut"
Nishat Hospital and Institute of Paramedical Sciences and College of Nursing Barabanki,"Uttar Pradesh, Barabanki"
Government Women's Polytechnic College Calicut,"Kerala, Calicut"
Euphrasia Training College for Women Kattoor Thrissur,"Kerala, Thrissur"
NRI Institute of Technology and Management Gwalior,"Madhya Pradesh, Gwalior"
Government Degree College Doda,"Jammu & Kashmir, Doda"
O.P. Jindal Global University,"Haryana, Sonipat"
Rashtra Kavi Maithili Sharan Gupt Mahavidyalaya Jhansi,"Uttar Pradesh, Jhansi"
Netaji Subhash College of Nursing Palampur,"Himachal Pradesh, Palampur"
Sinhgad School of Business Studies Narhe,"Maharashtra, Narhe"
Swami Vivekanand Government Post Graduate College Champawat,"Uttarakhand, Champawat"
Lowry Adventist College & group of institutions,"Madhya Pradesh, Agar"
VTU,"Karnataka, Belagavi"
Ganauri Ramkali Teachers Training College Nawada,"Bihar, Nawada"
Adarsh College of Arts & Commerce Thane,"Maharashtra, Thane"
Sat Priya Colleges Rohtak,"Haryana, Rohtak"
Jai Bharath Arts and Science College Ernakulam,"Kerala, Ernakulam"
MGR Medical University,"Tamil Nadu, Guindy"
Dinabandhu Andrews College Baishnabnagar,"Unknown, Baishnabnagar"
Rungta Engineering College Raipur,"Chhattisgarh, Raipur"
MET Institute of International Studies Mumbai,"Maharashtra, Mumbai"
Patiala Institute of Engineering and Technology for Women,"Punjab, Patiala"
St Thomas College Ranny Pathanamthitta,"Kerala, Pathanamthitta"
Indian Institute of Tropical Meteorology Pune,"Maharashtra, Pune"
Star Infotech College Ajmer,"Rajasthan, Ajmer"
NCRD'S Sterling Institute Of Management Studies Navi Mumbai,"Maharashtra, Mumbai"
Manav Rachna University Faridabad,"Haryana, Faridabad"
Government College of Education Jammu,"Jammu & Kashmir, Jammu"
DBU,"Himachal Pradesh, Mandi"
Ananya Institute of Commerce And Management Tumkur,"Karnataka, Tumkur"
ITM University Gwalior,"Madhya Pradesh, Gwalior"
Central College of Information Technology Raipur,"Chhattisgarh, Raipur"
Chandubhai S Patel Institute of Technology Anand,"Gujarat, Anand"
Sree Vidyanikethan College of Nursing Tirupati,"Andhra Pradesh, Tirupati"
Sri Manakula Vinayagar Polytechnic College Pondicherry,"Puducherry, Pondicherry"
Eswar College of Engineering Narasaraopet,"Andhra Pradesh, Narasaraopet"
"Presidency University, School of Information Science Bangalore","Karnataka, Bangalore"
IIM Lucknow,"Uttar Pradesh, Lucknow"
Shri Mati Chandrawal Gupta Mahila Shikshak Prashikshan Mahavidyalaya Sirohi,"Rajasthan, Sirohi"
Anand International College of Engineering Jaipur,"Rajasthan, Jaipur"
Acharya Ramendra Sundar Primary Teacher's Training Institute Birbhum,"West Bengal, Birbhum"
Jagriti Teachers Training College Mandi,"Himachal Pradesh, Mandi"
Bhutta College of Education Ludhiana,"Punjab, Ludhiana"
MGKVP,"Uttar Pradesh, Varanasi"
Balwant College Sangli,"Maharashtra, Sangli"
Apoorva Degree College Karimnagar,"Telangana, Karimnagar"
C Kandasami Naidu College for Men Chennai,"Tamil Nadu, Chennai"
University of Lucknow,"Uttar Pradesh, Lucknow"
Anand Shankar Rotary BEd College Palamu,"Jharkhand, Palamu"
Dr. A. V. Baliga Institute of Social Sciences and Rural Management Udupi,"Karnataka, Udupi"
AISSMS College of Hotel Management & Catering Technology Pune,"Maharashtra, Pune"
Dr DY Patil College of Agriculture Business Management Pune,"Maharashtra, Pune"
St. Xavier's College Jaipur,"Rajasthan, Jaipur"
University of Kota,"Rajasthan, Kota"
BharatRatna Indira Gandhi College of Engineering Solapur,"Maharashtra, Solapur"
Purvanchal Institute of Dental Sciences Gorakhpur,"Uttar Pradesh, Gorakhpur"
Parshwanath Doddanavar Bharatesh College of Nursing Belgaum,"Karnataka, Belgaum"
VBSPU,"Unknown, VBSPU"
Saint Claret College Ziro,"Arunachal Pradesh, Ziro"
Swami Keshwanand Institute of Technical Education Sikar,"Rajasthan, Sikar"
Patanjali University Haridwar,"Uttarakhand, Haridwar"
KLE Society's College of Education Hubli,"Karnataka, Hubli"
Pimpri Chinchwad Polytechnic Pune,"Maharashtra, Pune"
A.V.C College of Engineering Nagapattinam,"Tamil Nadu, Nagapattinam"
Karmela Rani Training College Kollam,"Kerala, Kollam"
Vivekanand School of Journalism and Mass Communication New Delhi,"Delhi, Delhi"
Kuriakose Elias College Mannanam Kottayam,"Kerala, Kottayam"
Azeezia Medical College Kollam,"Kerala, Kollam"
Shiv Shankar Shivram Singh Mahavidyalaya Unnao,"Uttar Pradesh, Unnao"
GZSCCET,"Punjab, Bathinda"
CIPET,"Tamil Nadu, Chennai"
Tripura University West Tripura,"Madhya Pradesh, Agar"
Bhagabati Devi Primary Teachers' Training Institute Medinipur,"West Bengal, Medinipur"
Government Polytechnic Kanpur,"Uttar Pradesh, Kanpur"
ES Engineering College Villupuram,"Tamil Nadu, Villupuram"
FISAT,"Kerala, Angamaly"
NIT Durgapur,"West Bengal, Durgapur"
LCRT College of Education Panipat,"Haryana, Panipat"
Baroda Institute of Management Studies Vadodara,"Gujarat, Vadodara"
Prof Gursewak Singh Punjab Government College of Physical Education Patiala,"Punjab, Patiala"
Institute of Communication and Information Technology Kohima,"Nagaland, Kohima"
AlKarim University Katihar,"Bihar, Katihar"
Dr. Rizvi College of Engineering Kaushambi,"Uttar Pradesh, Kaushambi"
Karaikal Polytechnic College,"Puducherry, Karaikal"
Global College of Nursing Bangalore,"Karnataka, Bangalore"
SJ College of Engineering and Technology Jaipur,"Rajasthan, Jaipur"
MJPRU,"Uttar Pradesh, Pilibhit"
Smt Kashibai Navale Medical College and General Hospital Pune,"Maharashtra, Pune"
Lok Mahavidyalaya Wardha,"Maharashtra, Wardha"
Bankey Bihari Kanya Mahavidyalaya Badaun,"Uttar Pradesh, Badaun"
SPA Bhopal,"Madhya Pradesh, Bhopal"
BVIMR,"Haryana, Rohtak"
Shyam Institute of Management and Technology New Delhi,"Delhi, Delhi"
Government Polytechnic Education Society Gurgaon,"Haryana, Gurgaon"
SPCE,"Maharashtra, Andheri"
HOLY Cross Trichy,"Tamil Nadu, Trichy"
BNMIT,"Unknown, BNMIT"
Excel Group of Institutions Namakkal,"Tamil Nadu, Namakkal"
Amity Institute of Competitive Intelligence and Strategic Management Noida,"Uttar Pradesh, Noida"
BCF College of Physiotherapy Kottayam,"Kerala, Kottayam"
CCC Kanpur,"Uttar Pradesh, Kanpur"
Radha Mahavidyalaya Nagpur,"Maharashtra, Nagpur"
Goalpara College,"Assam, Goalpara"
SRM University Ghaziabad,"Uttar Pradesh, Ghaziabad"
BSSS,"Unknown, BSSS"
VEC,"Tamil Nadu, Ambattur"
Adhiparasakthi Polytechnic College Kanchipuram,"Tamil Nadu, Kanchipuram"
Kaliachak Government Polytechnic Malda,"West Bengal, Malda"
Sai Nath University Ranchi,"Jharkhand, Ranchi"
Palamuru University Mahabubnagar,"Telangana, Mahabubnagar"
Arts and Commerce College Solapur,"Maharashtra, Solapur"
"O.P. Jindal Global University, Jindal School of International Affairs Sonepat","Haryana, Sonepat"
LR Institute of Management Solan,"Himachal Pradesh, Solan"
Fabtech Technical Campus Solapur,"Maharashtra, Solapur"
Rabindranath Tagore University Bhopal,"Madhya Pradesh, Bhopal"
Vasavi Polytechnic College Kurnool,"Andhra Pradesh, Kurnool"
CNLU Patna,"Bihar, Patna"
LN School of Hospitality Studies Mumbai,"Maharashtra, Mumbai"
Amity Law School Noida,"Uttar Pradesh, Noida"
Gurukul College of Management Gulbarga,"Karnataka, Gulbarga"
Excel Business School Namakkal,"Tamil Nadu, Namakkal"
Bhartiya College of Agriculture and Agricultural Engineering Durg,"Chhattisgarh, Durg"
Birjhora Kanya Mahavidyalaya Bongaigaon,"Assam, Bongaigaon"
Gandhi Institute of Advanced Computer and Research Rayagada,"Odisha, Rayagada"
Shri Shivaji College of Arts Commerce and Science Akola,"Maharashtra, Akola"
Acharya Institute of Graduate Studies Bangalore,"Karnataka, Bangalore"
MAM BSchool Tiruchirappalli,"Tamil Nadu, Tiruchirappalli"
St. Luke's School & College of Nursing,"Andhra Pradesh, Visakhapatnam"
M Dasan Institute of Technology Kozhikode,"Kerala, Kozhikode"
Millennium College of Education Bhopal,"Madhya Pradesh, Bhopal"
Basavashree College of Law Kolar,"Karnataka, Kolar"
Kukreja Institute of Hotel Management & Catering Technology Dehradun,"Uttarakhand, Dehradun"
R.P. Sharma Institute of Technology Patna,"Bihar, Patna"
Bethany Navajeevan College of Education Kanyakumari,"Tamil Nadu, Kanyakumari"
Purash Kanpur Haridas Nandi Mahavidyalaya Kolkata,"West Bengal, Kolkata"
Sandip Institute of Polytechnic Nashik,"Maharashtra, Nashik"
Lorven Teachers Training College Bangalore,"Karnataka, Bangalore"
Mohammad Ali Jauhar University Rampur,"Uttar Pradesh, Rampur"
Renuka Institute of Management Barwani,"Madhya Pradesh, Barwani"
Leonardo Da Vinci School of Design Aurangabad,"Maharashtra, Aurangabad"
Government Polytechnic Thrissur,"Kerala, Thrissur"
Varun Dhaka Institute of Technology New Delhi,"Delhi, Delhi"
Deccan School of Planning and Architecture Hyderabad,"Telangana, Hyderabad"
HiTech Dental College and Hospital Bhubaneswar,"Odisha, Bhubaneswar"
Anjuman College for Women Bhatkal,"Karnataka, Bhatkal"
Bonnie foi College Bhopal,"Madhya Pradesh, Bhopal"
Fr. Conceicao Rodrigues College of Engineering Mumbai,"Maharashtra, Mumbai"
Government Post Graduate College Una,"Gujarat, Una"
CU Punjab,"Punjab, Mansa"
Acharya Brojendra Nath Seal College Cooch Behar,"West Bengal, Cooch Behar"
Patkai Christian College Dimapur,"Nagaland, Dimapur"
KITS Coimbatore,"Tamil Nadu, Coimbatore"
IITT Institutions Chandigarh,"Punjab, Chandigarh"
IIT Ropar,"Punjab, Ropar"
Darrang College Tezpur,"Assam, Tezpur"
Tirupati Institute of Professional Studies Meerut,"Uttar Pradesh, Meerut"
Amrita School of Dentistry Kochi,"Kerala, Kochi"
RBVRR B.Ed College Karimnagar,"Telangana, Karimnagar"
Mahamaya Polytechnic for information Technology Aligarh,"Uttar Pradesh, Aligarh"
LMCP Ahmedabad,"Gujarat, Ahmedabad"
Sheth Motilal Nathaibhai Contractor College of Education Vadodara,"Gujarat, Vadodara"
Great Mission Teachers Training Institute New Delhi,"Delhi, Delhi"
Acharya Prafulla Chandra College Kolkata,"West Bengal, Kolkata"
Alipurduar College,"West Bengal, Alipurduar"
Sri Sai Baba National College of Education Anantapur,"Andhra Pradesh, Anantapur"
Sri KV College of Pharmacy Kolar,"Karnataka, Kolar"
NID Bangalore,"Karnataka, Bangalore"
Universal College Bangalore,"Karnataka, Bangalore"
Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College Chennai,"Tamil Nadu, Chennai"
Majma'a Arts College Malappuram,"Kerala, Malappuram"
CK Pithawalla Institute of Pharmaceutical Science and Research Surat,"Gujarat, Surat"
MBS College New Delhi,"Delhi, Delhi"
Government Polytechnic Vadnagar,"Gujarat, Vadnagar"
Navodaya College of Paramedical Sciences Raichur,"Karnataka, Raichur"
RMLAU,"Uttar Pradesh, Allahabad"
Kalasalingam University,"Tamil Nadu, Virudhunagar"
IIMT College of Education Meerut,"Uttar Pradesh, Meerut"
Dr RB Singh Gaya Homoeopathic Medical College & Hospital,"Bihar, Bodhgaya"
Vinayaka Missions College of Pharmacy Salem,"Tamil Nadu, Salem"
Galaxy Global Imperial Technical Campus Ambala,"Haryana, Ambala"
Presidency University Kolkata,"West Bengal, Kolkata"
Padmabhooshan Vasantdada Patil Institute of Technology Sangli,"Maharashtra, Sangli"
Chatra College,"Unknown, Unknown"
Loknete Gopinathji Munde Institute of Engineering Education & Research Nashik,"Maharashtra, Nashik"
Institute of Printing Technology Chennai,"Tamil Nadu, Chennai"
Dr Tanajirao Chorage MEd College Ratnagiri,"Maharashtra, Ratnagiri"
Bishop Benziger College of Nursing Kollam,"Kerala, Kollam"
MITS Rayagada,"Odisha, Rayagada"
St Stephen's College,"Unknown, Unknown"
Besant Theosophical College Madanapalle,"Andhra Pradesh, Madanapalle"
Grow Institute of BCA Ahmedabad,"Gujarat, Ahmedabad"
Aryavart Institute of Higher Education Lucknow,"Uttar Pradesh, Lucknow"
GMR Polytechnic Gajwel Medak,"Telangana, Medak"
Sinhgad Institute of Pharmacy Narhe,"Maharashtra, Narhe"
Annoor Dental College and Hospital Ernakulam,"Kerala, Ernakulam"
Gaighata Government Polytechnic,"Unknown, Unknown"
D.K. College Buxar,"Bihar, Buxar"
NIFD Global Indore,"Madhya Pradesh, Indore"
KK University,"Bihar, University"
Abdul Razak Degree College Jyotiba Phule Nagar,"Uttar Pradesh, Amroha"
S.R. government polytechnic college Sagar,"Madhya Pradesh, Sagar"
Hayagriva Polytechnic College Kariapatti,"Puducherry, Pondicherry"
JBR Architecture College Hyderabad,"Telangana, Hyderabad"
Suraj College of Education Mahendragarh,"Haryana, Mahendragarh"
Agricultural Engineering College and Research Institute Coimbatore,"Tamil Nadu, Coimbatore"
Jangaon Institute of Pharmaceutical Sciences Warangal,"Telangana, Warangal"
Silver Oak University Ahmedabad,"Gujarat, Ahmedabad"
Vaish College of Engineering Rohtak,"Haryana, Rohtak"
Prasannamani College of Physical Education and Yoga Cuttack,"Odisha, Cuttack"
Ganjam Law College Berhampur,"Odisha, Berhampur"
Chatrapati Shahuji Maharaj Shikshan Sanstha's Dental College Aurangabad,"Maharashtra, Aurangabad"
Udayanath College of Science and Technology Cuttack,"Odisha, Cuttack"
Madhav Shiksha Mahavidyalaya Gwalior,"Madhya Pradesh, Gwalior"
Dewan Bahadur Padma Rao Mudaliar Degree College for Women Secunderabad,"Telangana, Secunderabad"
Baby Memorial College Of Nursing Kozhikode,"Kerala, Kozhikode"
ABSS Institute of Technology Meerut,"Uttar Pradesh, Meerut"
SASI,"Andhra Pradesh, Tadepalligudem"
SaiBalaji International Institute of Management Sciences Pune,"Maharashtra, Pune"
Sir Syed Institute for Technical Studies Taliparamba,"Kerala, Taliparamba"
Xavier Institute of Design Indore,"Madhya Pradesh, Indore"
Chandigarh College of Hotel Management and Catering Technology Landran,"Punjab, Mohali"
Nitte Institute of Speech and Hearing Mangalore,"Karnataka, Mangalore"
SECT College of Professional Education Bhopal,"Madhya Pradesh, Bhopal"
AEC East Godavari,"Andhra Pradesh, East Godavari"
Canan School of Catering and Hotel Management Chennai,"Tamil Nadu, Chennai"
NSS College Pathanamthitta,"Kerala, Pathanamthitta"
RISHI Institute of Engineering and Technology Meerut,"Uttar Pradesh, Meerut"
Parul Institute of Hotel Management & Catering Technology Vadodara,"Gujarat, Vadodara"
Mar chryostostom college of Education Kanyakumari,"Tamil Nadu, Kanyakumari"
Prema Katiyar Shikshan Sansthan College Kanpur Dehat,"Uttar Pradesh, Kanpur Dehat"
Alamuri Ratnamala Institute of Engineering and Technology Thane,"Maharashtra, Thane"
Saryu Degree College Gonda,"Uttar Pradesh, Gonda"
BCET Samba,"Jammu & Kashmir, Samba"
SVCE Chennai,"Tamil Nadu, Chennai"
M.A.M Polytechnic College Tiruchirappalli,"Tamil Nadu, Tiruchirappalli"
Navodaya College of Education Raichur,"Karnataka, Raichur"
Indus Institute of Technology and Management Kanpur,"Uttar Pradesh, Kanpur"
Adarsh Institute of Technology and Research Centre Sangli,"Maharashtra, Sangli"
Pearl International Institute of Hotel Management Sonepat,"Haryana, Sonepat"
Sree Narayana Guru Memorial Teacher Training Institute Alappuzha,"Kerala, Alappuzha"
Panihati Mahavidyalaya Kolkata,"West Bengal, Kolkata"
KSRCT,"Tamil Nadu, Tiruchengode"
Pratap College Jalgaon,"Maharashtra, Jalgaon"
Oriental School of Hotel Management Lakkidi Wayanad,"Kerala, Wayanad"
Vaish College of Education Rohtak,"Haryana, Rohtak"
Kasturi Ram College of Higher Education New Delhi,"Delhi, Delhi"
Shri Gokul Verma Govt. Polytechnic College Bharatpur,"Rajasthan, Bharatpur"
VMV JMT and JJP Science College Nagpur,"Maharashtra, Nagpur"
Saket College of Physical Education Gondiya,"Maharashtra, Gondiya"
Pakuahat Degree College Malda,"West Bengal, Malda"
Venus International College of Technology Gandhinagar,"Gujarat, Gandhinagar"
"Chitrada College, Chitrada Mayurbhanj","Odisha, Mayurbhanj"
Government Ram Chandra Khaitan Polytechnic College Jaipur,"Rajasthan, Jaipur"
Shri U.S.B. Group of College Sirohi,"Rajasthan, Sirohi"
Baruipur Government Polytechnic Kolkata,"West Bengal, Kolkata"
Nawab Jassa Singh Ahluwalia Government College Kapurthala,"Punjab, Kapurthala"
Government Thoothukudi Medical College,"Madhya Pradesh, Agar"
CHARUSAT,"Gujarat, Nadiad"
JRN Institute of Aviation Technology New Delhi,"Delhi, Delhi"
Savitribai Phule School and College of Nursing Kolhapur,"Maharashtra, Kolhapur"
NSD,"Unknown, NSD"
Christian Polytechnic College Dindigul,"Tamil Nadu, Dindigul"
Structural Engineering Research Centre Chennai,"Tamil Nadu, Chennai"
S.K. College of Education and Research Navi Mumbai,"Maharashtra, Mumbai"
V J Shinde Polytechnic College Aurangabad,"Maharashtra, Aurangabad"
Samarth Institute for Education and Technology Meerut,"Uttar Pradesh, Meerut"
Center for Civil Aviation Training New Delhi,"Delhi, Delhi"
Times Pro New Delhi,"Delhi, Delhi"
Sardar Patel College of Education Gurgaon,"Haryana, Gurgaon"
Sathyasai B.Ed. College Avadi,"Tamil Nadu, Avadi"
