id,title,image
30174,SSLD Varshney Engineering College Aligarh,
26791,Anna Adarsh College for Women Chennai,
30734,"Faculty of Diploma, Noble Group of Institution Junagadh",
31259,Siddaganga Polytechnic Tumkur,
28834,SDBC,
31261,Behara Polytechnic College Visakhapatnam,
26792,Chendhuran College of Engineering and Technology Pudukkottai,
30504,Alagappa Government Arts College Sivaganga,
30342,TISS Hyderabad,
31263,Diamond Harbour Government Polytechnic South 24 Parganas,
31267,SIRDA Group of Institution Mandi,
34589,College Of Agriculture,
31269,Panimalar Polytechnic College Chennai,
26793,K. P. National College of Arts and Science Batlagundu Dindigul,
27299,Ishan Institute of Law Greater Noida,
26798,Annai Hajira College Tirunelveli,
31847,Ashvin College of Pharmacy Nashik,
26799,Cheran Arts and Science College Kangayam,
26802,Annai Vailankanni Arts & Science College Thanjavur,
26804,"P M R Engineering College, Adayalampattu Chennai",
34546,"Centre for Distance and Online Education, NorthCap University",
26807,MEASI Institute of Management Chennai,
31273,Government Polytechnic Moradabad,
26809,ESIC Medical College and PGIMSR Chennai,
33498,AlAmeer Degree & P.G College East Godavari,
26810,PGP College of Arts & Science Namakkal,
31276,Government Polytechnic College Srinagar Garhwal,
20590,GPCET,
31687,Yalamarty College of Polytechnic Visakhapatnam,
26811,Cheran College of Pharmacy Coimbatore,
20594,GGS College of Modern Technology Mohali,
32537,SRM Medical & Research Center Trichy,
32977,Krishna Computer Institute Indore,
26813,Meenakshi Chandrasekaran College of Arts & Science Thanjavur Pattukkottai,
31278,Government Polytechnic College Ajmer,
31828,"Late Adv. Dadasaheb Chavan Memorial Institute of Pharmacy,Malwadi Satara",
31280,Government Polytechnic College Meenangadi Wayanad,
34568,Ajeenkya DY Patil University Seamedu,
33006,SUN International Institute for Tourism & Management Serilingampally,
31283,Malla Reddy University Hyderabad,
29829,Swami Sarvanand Institute of Engineering & Technology Gurdaspur,
31288,Anjuman Polytechnic Nagpur,
34538,Dr. H N National College of Engineering,
26816,"College of Nursing, Nirmala Medical Centre Muvattupuzha",
31289,Vikrant University Gwalior,
